,A,B,C,D,E,F,G,H,I,J,K,L,M,N,Ñ,O,NoMeasure
total_hijos_victima,0.010806265852610686,0.009259397982750883,0.010004653471356706,0.009351031866418169,0.009251231632555146,0.010059053575902865,0.009450431093364964,0.009378028129910732,0.007590876559407045,0.007446431100295525,0.010106550270944759,0.009373502915991039,0.009267356233415569,0.009620519905898406,0.009276721866832593,0.00915613137449589,0.007971427699339673
hijos_hombres_victima,0.00914583929616608,0.008857893825347851,0.00937782057199077,0.008648550723596382,0.008747539381384284,0.009345090712811532,0.008914049593254036,0.008635537701638052,0.00565229579412474,0.005818273331401835,0.009241319600334696,0.008680284962446772,0.008756180117879597,0.008624185220292957,0.008694958643213901,0.008757194831475967,0.0063104327390184345
hijas_mujeres_victima,0.008877971552983865,0.008675589343876577,0.009665400647019595,0.008922308738997131,0.00891635906949284,0.00925621715679048,0.009043155651576873,0.008861802528452922,0.0054619981496975,0.0049175848458249405,0.009357820742585954,0.008957477725132779,0.00911626427290202,0.009284758738482557,0.00891065772327071,0.008919206686355263,0.005661393379581936
alfabeta_victima,0.04438126763744199,0.04931578002467474,0.047117894928284,0.05053851221386463,0.05063645784887849,0.04979443580621801,0.04990734998214963,0.05078506391822324,0.025477358795430893,0.026563369227735834,0.049712501560803646,0.05051272112934768,0.05078705936116945,0.04918268739233467,0.050788866532505694,0.050769001802479785,0.02617782295814486
escolaridad_victima,0.006161019533044376,0.0071467450754001405,0.006882147813780826,0.0058742094390394906,0.005853224801920409,0.0058311795270856726,0.0061660863880144134,0.005725632921528279,0.008284247384488186,0.007913918913402318,0.005678853177848109,0.0058377821919900486,0.005918932249722286,0.005511304012838392,0.005754234222924093,0.005815790479048677,0.00792212361384026
estado_civil_victima,0.0188173075233522,0.018811538957375307,0.01857193060569018,0.01888986156247685,0.018841595008030065,0.019056362935470084,0.018979820257537194,0.018920720760125742,0.014587965687534066,0.014219028113388266,0.01901021049382623,0.018846692738523796,0.019081921831800353,0.019115600874549887,0.018821531558381843,0.018860551847436513,0.01487517039460795
pueblo_victima,0.021914780664026745,0.025811714027276222,0.02469200326379606,0.025961770730361988,0.025588589402709472,0.0253860217223284,0.025619625415016722,0.025644824613245687,0.02311551461175121,0.021671072159442417,0.02588704906127648,0.0256530711048244,0.025533955899273875,0.025046181935225453,0.02562037008009488,0.02571007606712794,0.022410044692753983
nacionalidad_victima,0.052992065778335595,0.059910685164789146,0.057305049065738745,0.062043618924691124,0.062141225728477245,0.06103700154345648,0.06125064132465052,0.06197139367139426,0.02955693546343041,0.029950827181708384,0.06067496906470049,0.06219628164443136,0.0621245527159513,0.060266912963638286,0.062246817525574705,0.062205747967248426,0.030090566130595464
trabaja_victima,0.037140688044803305,0.043272150123558895,0.04111694147694256,0.04406406838103982,0.04408633629186798,0.04319661867701863,0.04351687640450119,0.04415595976754827,0.023168820816942715,0.024022703998468398,0.043181886563563365,0.044212038162047884,0.044099222791300186,0.043090985476883725,0.0442565963092042,0.04409301023514234,0.02339222264691343
ocupacion_victima,0.0017096132181171342,0.002123411518708096,0.0014945695367662992,0.0008431468132458209,0.0007817332762336537,0.0009165911786112035,0.001040276871903889,0.0009266647771181136,0.0032315627359551513,0.002988276599015016,0.0018214976044175213,0.0009192276231618779,0.001175340931293234,0.0016775895199763191,0.0008695086898448112,0.0009140712327102563,0.0037932651230876413
